"","Row.names","Sample.ID","Latitude","Longitude","Fg_MDS1","Fg_MDS2","Fg_MDS3","Bac_MDS1","Bac_MDS2","Bac_MDS3"
"1","SampleID.102.100.100.10714","102.100.100/10714",-34.0597,140.6958,0.129464995175855,0.181044613911677,-0.1413558464175,0.586229023880595,0.264660952244261,0.142227141461046
"2","SampleID.102.100.100.10716","102.100.100/10716",-34.05624,140.7354,0.126716213042563,0.224572656402092,-0.146657794800023,0.578825708498995,0.0937119436333968,0.448490871033621
"3","SampleID.102.100.100.10718","102.100.100/10718",-34.03715,140.7064,0.225284296378802,0.202268368737852,-0.248838683971526,0.651763752359461,0.226626733016892,0.254979508806679
"4","SampleID.102.100.100.10720","102.100.100/10720",-33.9556,140.719,0.158079426110075,0.0723315969134598,-0.0994646618574421,0.502127453311678,0.0463713378403556,0.186726336764047
"5","SampleID.102.100.100.12424","102.100.100/12424",-42.1074,148.3395,-0.289968287658426,-0.124072376633963,-0.0298369839678065,-0.416238232866686,-0.008710600215325,0.0908673840356463
"6","SampleID.102.100.100.12426","102.100.100/12426",-42.106246,148.340808,-0.250152730830717,-0.0624466484963809,-0.0678091246181457,-0.270690392625118,0.103294986773987,0.176103400153173
"7","SampleID.102.100.100.12428","102.100.100/12428",-42.105769,148.336683,-0.234369555566844,0.0289969351096924,-0.070796143839992,-0.156184640855388,0.186855568781593,0.152494041107369
"8","SampleID.102.100.100.12430","102.100.100/12430",-42.1685,148.2641,-0.298055919176718,0.141503955069617,-0.0948065622142848,-0.178363562501971,0.283082526437328,0.189644629389984
"9","SampleID.102.100.100.12434","102.100.100/12434",-42.173,148.2851,-0.219214672305549,-0.232836408906194,0.0109791867381708,-0.517420483718687,-0.0836170369334384,0.112195659185333
"10","SampleID.102.100.100.12436","102.100.100/12436",-42.0585,148.3002,-0.313388081629716,0.0194613424294166,-0.159122110329409,-0.210343593758008,0.591022439727774,0.516405096677831
"11","SampleID.102.100.100.12438","102.100.100/12438",-42.0578,148.3021,-0.316969490247789,-0.0195323920490086,-0.0975099905574664,-0.255437341862875,0.103400907460281,0.11008678378866
"12","SampleID.102.100.100.12440","102.100.100/12440",-42.0233,148.2828,-0.160406831261623,-0.188788490323192,0.154563168190767,-0.323425205769868,0.180475324846364,0.268355435854353
"13","SampleID.102.100.100.12444","102.100.100/12444",-42.6831,146.6099,-0.291063662669296,-0.229024209921029,0.0385931444046201,-0.559919832421152,0.20250432441305,0.229647843252821
"14","SampleID.102.100.100.12446","102.100.100/12446",-42.6735,146.625,-0.486943069654305,-0.139665352392557,-0.0562041061140179,-0.7258600270874,0.0765376836688613,0.280214101533495
"15","SampleID.102.100.100.12447","102.100.100/12447",-42.6793,146.6711,-0.422404873876246,-0.162887515707508,0.0352885254687283,-0.619082402867695,0.0480430203556015,0.13868205692415
"16","SampleID.102.100.100.12450","102.100.100/12450",-30.20116196,149.597435,0.218951017502763,0.305351612245442,0.0708191686091771,0.614759625260683,0.521597637245865,-0.112049576525074
"17","SampleID.102.100.100.12459","102.100.100/12459",-35.42356667,148.7989167,-0.362323787186867,-0.113583906840888,-0.000306572428197413,-0.570942222959786,0.0530840976260286,0.120754875580116
"18","SampleID.102.100.100.12461","102.100.100/12461",-35.42373333,148.7975833,-0.476188872914383,-0.107062897047043,-0.0104271038323347,-0.545837479607776,0.10480770623716,0.122600875943385
