"","Sample.ID","Database.Schema.Definitions.Url","Latitude","Longitude","LandUse","LanduseID"
"32","SampleID.102.100.100.12491","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.881,149.0076,"1 Conservation and natural environments",1
"33","SampleID.102.100.100.12493","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.8811,149.0083,"1 Conservation and natural environments",1
"34","SampleID.102.100.100.12495","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.8766833,149.0097,"1 Conservation and natural environments",1
"35","SampleID.102.100.100.12497","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.8769333,149.01025,"1 Conservation and natural environments",1
"36","SampleID.102.100.100.12499","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.8748666,149.01088,"1 Conservation and natural environments",1
"37","SampleID.102.100.100.12558","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.656611,148.151667,"1 Conservation and natural environments",1
"38","SampleID.102.100.100.12560","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.881,149.0076,"1 Conservation and natural environments",1
"39","SampleID.102.100.100.12562","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.8811,149.0083,"1 Conservation and natural environments",1
"40","SampleID.102.100.100.12564","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.8766833,149.0097,"1 Conservation and natural environments",1
"41","SampleID.102.100.100.12566","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.8769333,149.01025,"1 Conservation and natural environments",1
"42","SampleID.102.100.100.12568","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.8748666,149.01088,"1 Conservation and natural environments",1
"43","SampleID.102.100.100.12570","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.8748166,149.01165,"1 Conservation and natural environments",1
"44","SampleID.102.100.100.12572","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.881,149.0076,"1 Conservation and natural environments",1
"45","SampleID.102.100.100.12574","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.8811,149.0083,"1 Conservation and natural environments",1
"46","SampleID.102.100.100.12576","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.8766833,149.0097,"1 Conservation and natural environments",1
"47","SampleID.102.100.100.12578","https://github.com/AusMicrobiome/contextualdb_doc/raw/3.1.2/db_schema_definitions/db_schema_definitions.xlsx",-35.8769333,149.01025,"1 Conservation and natural environments",1
